"","Milk","Grocery","Frozen"
"1",11103,12469,902
"2",2013,6550,909
"3",1897,5234,417
"4",1304,3643,3045
"5",3199,6986,1455
"6",4560,9965,934
"7",879,2060,264
"8",6243,6360,824
"9",13316,20399,1809
"10",5302,9785,364
"11",3688,13829,492
"12",7460,24773,617
"13",12939,8852,799
"14",12867,21570,1840
"15",2374,2842,1149
"16",1020,3007,416
"17",20655,13567,1465
"18",1492,2405,12569
"19",2335,8280,3046
"20",3737,19172,1274
"21",925,2405,4447
"22",1795,7647,1483
"23",14982,11924,662
"24",1375,2201,2679
"25",3088,6114,978
"26",2713,3558,2121
"27",25071,17645,1128
"28",3696,2280,514
"29",1897,5167,2714
"30",713,3315,3703
"31",944,11593,915
"32",3587,2464,2369
"33",1610,1431,3498
"34",899,1664,414
"35",2209,3389,7849
"36",1486,4583,5127
"37",1786,5109,3570
"38",14881,26839,1234
"39",3216,1447,2208
"40",928,2743,11559
"41",6817,10790,1365
"42",1511,1330,650
"43",1347,2611,8170
"44",333,7021,15601
"45",1188,5332,9584
